Time,Tx,Transaction Hash URL,Token,Profit,Cost,Revenue
2024-06-22 23:59:47,0x826…a8738,https://eigenphi.io/mev/bsc/tx/0x8266aaf1198f0161d378d45ca46ce5e1fb64fe38df1b1ee1e76e8b8c027a8738,"…
…",$0.47,$3.85,$4.33
2024-06-22 23:58:41,0xc5b…f4c9a,https://eigenphi.io/mev/bsc/tx/0xc5b3a3ffa836fccb9bac49990e2a38f4e33f05c7146326962af66bcef35f4c9a,"…
…",$0.94,$0.15,$1.09
2024-06-22 23:58:38,0x134…1545f,https://eigenphi.io/mev/bsc/tx/0x13440aa1eb84e0becdf079e20c45d8bf1df2ac5d097009b37d2aa7535f71545f,"…
…",$2.30,$0.25,$2.55
2024-06-22 23:58:20,0x0b8…75ab8,https://eigenphi.io/mev/bsc/tx/0x0b843ce385b0795dc893fc5e80f40fada389c4ceb181002065aa11b7bac75ab8,"…
…",$9.51,$0.35,$9.87
2024-06-22 23:57:41,0xcef…ad1f6,https://eigenphi.io/mev/bsc/tx/0xcef76afe9e061129487ca6a2f30b816832eb8a94c34c9aa544322597219ad1f6,"…
…",$0.18,$2.95,$3.13
2024-06-22 23:57:41,0x8d0…bafe9,https://eigenphi.io/mev/bsc/tx/0x8d0805a4a288ab551d73629d8335676c58907ae42d32f13d4751228c703bafe9,"…
…",$0.53,$6.85,$7.38
2024-06-22 23:57:28,0xf2c…fd9a1,https://eigenphi.io/mev/bsc/tx/0xf2c6cd5d669b80f15f4165c6e585a3a765251f4a51340e13456cfeb1246fd9a1,"…
…",$0.45,$0.29,$0.75
2024-06-22 23:57:18,0xf7a…4f0f0,https://eigenphi.io/mev/bsc/tx/0xf7a78d299a74bd9289fc3360b5772d64f4c95335d653773e2f3935da35e4f0f0,"…
…",$0.69,$0.18,$0.87
2024-06-22 23:56:41,0x1aa…977d0,https://eigenphi.io/mev/bsc/tx/0x1aa1b2bf89ad717d2d28d373d982644fe6b23f01c3836a73ebde81ba4fa977d0,"…
…",$4.75,$0.19,$4.94
2024-06-22 23:55:34,0x233…5b2a1,https://eigenphi.io/mev/bsc/tx/0x2330c0e728ca0a2a14a18303fc104c05e3fd89ad72493c20704382c9ba05b2a1,"…
…",$0.14,$0.38,$0.52
"a few seconds ago
items per page:
0 - 10",,,,,,
